# arch	numCUs	testVector	perfConfig (exhaustive)
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 1024 -n 1024 -k 1024	64,64,4,32,32,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 2048 -n 2048 -k 2048	128,128,4,64,64,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 4096 -n 4096 -k 4096	256,128,4,64,128,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 8192 -n 8192 -k 8192	256,128,4,128,64,8,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 64 -m 1024 -n 384 -k 1024	128,128,16,64,64,4,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 64 -m 1024 -n 384 -k 4096	128,128,16,64,64,4,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 64 -m 2 -n 384 -k 1024	16,32,32,16,16,8,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 64 -m 3072 -n 384 -k 1024	128,128,16,64,64,4,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 64 -m 4096 -n 384 -k 1024	128,128,16,64,64,4,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 1024 -m 64 -n 384 -k 384	32,128,8,16,64,8,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA true -transB false -g 1024 -m 384 -n 384 -k 64	32,128,8,32,32,8,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 2304 -n 16384 -k 768	32,256,8,32,64,4,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 2 -n 16384 -k 768	32,64,32,32,32,1,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 3072 -n 16384 -k 768	64,256,8,64,64,8,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 768 -n 16384 -k 2	256,128,8,128,64,1,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 768 -n 16384 -k 3072	64,128,16,64,32,4,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 768 -n 16384 -k 768	128,256,16,64,128,4,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 768 -m 64 -n 256 -k 256	32,128,16,32,32,8,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA true -transB false -g 768 -m 256 -n 256 -k 64	16,256,4,16,64,16,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 128 -n 10240 -k 1280	64,64,32,32,32,4,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 128 -n 1280 -k 5120	32,32,16,16,16,16,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 2 -n 20160 -k 1280	16,64,16,16,16,8,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 2 -m 64 -n 3840 -k 1280	16,64,16,16,16,8,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 12 -m 384 -n 64 -k 384	32,32,8,16,16,16,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 384 -n 2304 -k 768	64,64,32,32,32,4,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 384 -n 2 -k 768	16,16,32,16,16,8,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 384 -n 3072 -k 768	64,64,16,32,32,8,1,1
